Team,Year,Wins,Losses,win%,Arena,Location,Capacity
Pittsburgh Penguins,2015,48,26,0.6486486486486487,PPG Paints Arena,"Pittsburgh, Pennsylvania",18387
Chicago Blackhawks,2015,47,26,0.6438356164383562,United Center,"Chicago, Illinois",19717
Florida Panthers,2015,47,26,0.6438356164383562,BB&T Center,"Sunrise, Florida",19250
Anaheim Ducks,2015,46,25,0.647887323943662,Honda Center,"Anaheim, California",17174
Los Angeles Kings,2015,48,28,0.631578947368421,Staples Center,"Los Angeles, California",18230
New York Rangers,2015,46,27,0.6301369863013698,Madison Square Garden,"New York City, New York",18006
New York Islanders,2015,45,27,0.625,Nassau Coliseum,"Uniondale, New York",13900
New York Islanders,2015,45,27,0.625,Barclays Center,"Brooklyn, New York",15795
San Jose Sharks,2015,46,30,0.6052631578947368,SAP Center,"San Jose, California",17562
Tampa Bay Lightning,2015,46,31,0.5974025974025974,Amalie Arena,"Tampa, Florida",19092
Nashville Predators,2015,41,27,0.6029411764705882,Bridgestone Arena,"Nashville, Tennessee",17113
Philadelphia Flyers,2015,41,27,0.6029411764705882,Wells Fargo Center,"Philadelphia, Pennsylvania",19543
Detroit Red Wings,2015,41,30,0.5774647887323944,Little Caesars Arena,"Detroit, Michigan",19515
Boston Bruins,2015,42,31,0.5753424657534246,TD Garden,"Boston, Massachusetts",17565
Minnesota Wild,2015,38,33,0.5352112676056338,Xcel Energy Center,"Saint Paul, Minnesota",17954
Carolina Hurricanes,2015,35,31,0.5303030303030303,PNC Arena,"Raleigh, North Carolina",18680
Ottawa Senators,2015,38,35,0.5205479452054794,Canadian Tire Centre,"Ottawa, Ontario",17373
New Jersey Devils,2015,38,36,0.5135135135135135,Prudential Center,"Newark, New Jersey",16514
Montreal Canadiens,2015,38,38,0.5,Bell Centre,"Montreal, Quebec",21302
Colorado Avalanche,2015,39,39,0.5,Pepsi Center,"Denver, Colorado",17809
Buffalo Sabres,2015,35,36,0.49295774647887325,KeyBank Center,"Buffalo, New York",19070
Winnipeg Jets,2015,35,39,0.47297297297297297,Canada Life Centre,"Winnipeg, Manitoba",15321
Arizona Coyotes,2015,35,39,0.47297297297297297,Gila River Arena,"Glendale, Arizona",17125
Calgary Flames,2015,35,40,0.4666666666666667,Scotiabank Saddledome,"Calgary, Alberta",19289
Columbus Blue Jackets,2015,34,40,0.4594594594594595,Nationwide Arena,"Columbus, Ohio",18144
Vancouver Canucks,2015,31,38,0.4492753623188406,Rogers Arena,"Vancouver, British Columbia",18910
Edmonton Oilers,2015,31,43,0.4189189189189189,Rogers Place,"Edmonton, Alberta",18347
Toronto Maple Leafs,2015,29,42,0.4084507042253521,Scotiabank Arena,"Toronto, Ontario",18819
Washington Capitals,2016,55,19,0.7432432432432432,Capital One Arena,"Washington, D.C.",18506
Pittsburgh Penguins,2016,50,21,0.704225352112676,PPG Paints Arena,"Pittsburgh, Pennsylvania",18387
Chicago Blackhawks,2016,50,23,0.684931506849315,United Center,"Chicago, Illinois",19717
Columbus Blue Jackets,2016,50,24,0.6756756756756757,Nationwide Arena,"Columbus, Ohio",18144
Minnesota Wild,2016,49,25,0.6621621621621622,Xcel Energy Center,"Saint Paul, Minnesota",17954
Anaheim Ducks,2016,46,23,0.6666666666666666,Honda Center,"Anaheim, California",17174
Montreal Canadiens,2016,47,26,0.6438356164383562,Bell Centre,"Montreal, Quebec",21302
Edmonton Oilers,2016,47,26,0.6438356164383562,Rogers Place,"Edmonton, Alberta",18347
New York Rangers,2016,48,28,0.631578947368421,Madison Square Garden,"New York City, New York",18006
St. Louis Blues,2016,46,29,0.6133333333333333,Enterprise Center,"St. Louis, Missouri",18724
San Jose Sharks,2016,46,29,0.6133333333333333,SAP Center,"San Jose, California",17562
Ottawa Senators,2016,44,28,0.6111111111111112,Canadian Tire Centre,"Ottawa, Ontario",17373
Toronto Maple Leafs,2016,40,27,0.5970149253731343,Scotiabank Arena,"Toronto, Ontario",18819
Boston Bruins,2016,44,31,0.5866666666666667,TD Garden,"Boston, Massachusetts",17565
Calgary Flames,2016,45,33,0.5769230769230769,Scotiabank Saddledome,"Calgary, Alberta",19289
Tampa Bay Lightning,2016,42,30,0.5833333333333334,Amalie Arena,"Tampa, Florida",19092
Nashville Predators,2016,41,29,0.5857142857142857,Bridgestone Arena,"Nashville, Tennessee",17113
New York Islanders,2016,41,29,0.5857142857142857,Nassau Coliseum,"Uniondale, New York",13900
New York Islanders,2016,41,29,0.5857142857142857,Barclays Center,"Brooklyn, New York",15795
Philadelphia Flyers,2016,39,33,0.5416666666666666,Wells Fargo Center,"Philadelphia, Pennsylvania",19543
Winnipeg Jets,2016,40,35,0.5333333333333333,Canada Life Centre,"Winnipeg, Manitoba",15321
Carolina Hurricanes,2016,36,31,0.5373134328358209,PNC Arena,"Raleigh, North Carolina",18680
Los Angeles Kings,2016,39,35,0.527027027027027,Staples Center,"Los Angeles, California",18230
Florida Panthers,2016,35,36,0.49295774647887325,BB&T Center,"Sunrise, Florida",19250
Dallas Stars,2016,34,37,0.4788732394366197,American Airlines Center,"Dallas, Texas",18532
Detroit Red Wings,2016,33,36,0.4782608695652174,Little Caesars Arena,"Detroit, Michigan",19515
Buffalo Sabres,2016,33,37,0.4714285714285714,KeyBank Center,"Buffalo, New York",19070
New Jersey Devils,2016,28,40,0.4117647058823529,Prudential Center,"Newark, New Jersey",16514
Arizona Coyotes,2016,30,42,0.4166666666666667,Gila River Arena,"Glendale, Arizona",17125
Vancouver Canucks,2016,30,43,0.410958904109589,Rogers Arena,"Vancouver, British Columbia",18910
Colorado Avalanche,2016,22,56,0.28205128205128205,Pepsi Center,"Denver, Colorado",17809
Nashville Predators,2017,53,18,0.7464788732394366,Bridgestone Arena,"Nashville, Tennessee",17113
Winnipeg Jets,2017,52,20,0.7222222222222222,Canada Life Centre,"Winnipeg, Manitoba",15321
Tampa Bay Lightning,2017,54,23,0.7012987012987013,Amalie Arena,"Tampa, Florida",19092
Boston Bruins,2017,50,20,0.7142857142857143,TD Garden,"Boston, Massachusetts",17565
Vegas Golden Knights,2017,51,24,0.68,T-Mobile Arena,"Paradise, Nevada",17368
Washington Capitals,2017,49,26,0.6533333333333333,Capital One Arena,"Washington, D.C.",18506
Toronto Maple Leafs,2017,49,26,0.6533333333333333,Scotiabank Arena,"Toronto, Ontario",18819
Minnesota Wild,2017,45,26,0.6338028169014085,Xcel Energy Center,"Saint Paul, Minnesota",17954
Anaheim Ducks,2017,44,25,0.6376811594202898,Honda Center,"Anaheim, California",17174
San Jose Sharks,2017,45,27,0.625,SAP Center,"San Jose, California",17562
Pittsburgh Penguins,2017,47,29,0.618421052631579,PPG Paints Arena,"Pittsburgh, Pennsylvania",18387
Los Angeles Kings,2017,45,29,0.6081081081081081,Staples Center,"Los Angeles, California",18230
Philadelphia Flyers,2017,42,26,0.6176470588235294,Wells Fargo Center,"Philadelphia, Pennsylvania",19543
Columbus Blue Jackets,2017,45,30,0.6,Nationwide Arena,"Columbus, Ohio",18144
New Jersey Devils,2017,44,29,0.6027397260273972,Prudential Center,"Newark, New Jersey",16514
Florida Panthers,2017,44,30,0.5945945945945946,BB&T Center,"Sunrise, Florida",19250
Colorado Avalanche,2017,43,30,0.589041095890411,Pepsi Center,"Denver, Colorado",17809
St. Louis Blues,2017,44,32,0.5789473684210527,Enterprise Center,"St. Louis, Missouri",18724
Dallas Stars,2017,42,32,0.5675675675675675,American Airlines Center,"Dallas, Texas",18532
Calgary Flames,2017,37,35,0.5138888888888888,Scotiabank Saddledome,"Calgary, Alberta",19289
Carolina Hurricanes,2017,36,35,0.5070422535211268,PNC Arena,"Raleigh, North Carolina",18680
New York Islanders,2017,35,37,0.4861111111111111,Nassau Coliseum,"Uniondale, New York",13900
New York Islanders,2017,35,37,0.4861111111111111,Barclays Center,"Brooklyn, New York",15795
Edmonton Oilers,2017,36,40,0.47368421052631576,Rogers Place,"Edmonton, Alberta",18347
New York Rangers,2017,34,39,0.4657534246575342,Madison Square Garden,"New York City, New York",18006
Chicago Blackhawks,2017,33,39,0.4583333333333333,United Center,"Chicago, Illinois",19717
Vancouver Canucks,2017,31,40,0.43661971830985913,Rogers Arena,"Vancouver, British Columbia",18910
Detroit Red Wings,2017,30,39,0.43478260869565216,Little Caesars Arena,"Detroit, Michigan",19515
Montreal Canadiens,2017,29,40,0.42028985507246375,Bell Centre,"Montreal, Quebec",21302
Arizona Coyotes,2017,29,41,0.4142857142857143,Gila River Arena,"Glendale, Arizona",17125
Ottawa Senators,2017,28,43,0.39436619718309857,Canadian Tire Centre,"Ottawa, Ontario",17373
Buffalo Sabres,2017,25,45,0.35714285714285715,KeyBank Center,"Buffalo, New York",19070
Tampa Bay Lightning,2018,62,16,0.7948717948717948,Amalie Arena,"Tampa, Florida",19092
Boston Bruins,2018,49,24,0.6712328767123288,TD Garden,"Boston, Massachusetts",17565
Calgary Flames,2018,50,25,0.6666666666666666,Scotiabank Saddledome,"Calgary, Alberta",19289
Washington Capitals,2018,48,26,0.6486486486486487,Capital One Arena,"Washington, D.C.",18506
New York Islanders,2018,48,27,0.64,Nassau Coliseum,"Uniondale, New York",13900
New York Islanders,2018,48,27,0.64,Barclays Center,"Brooklyn, New York",15795
San Jose Sharks,2018,46,27,0.6301369863013698,SAP Center,"San Jose, California",17562
Toronto Maple Leafs,2018,46,28,0.6216216216216216,Scotiabank Arena,"Toronto, Ontario",18819
Pittsburgh Penguins,2018,44,26,0.6285714285714286,PPG Paints Arena,"Pittsburgh, Pennsylvania",18387
Nashville Predators,2018,47,29,0.618421052631579,Bridgestone Arena,"Nashville, Tennessee",17113
Winnipeg Jets,2018,47,30,0.6103896103896104,Canada Life Centre,"Winnipeg, Manitoba",15321
Carolina Hurricanes,2018,46,29,0.6133333333333333,PNC Arena,"Raleigh, North Carolina",18680
St. Louis Blues,2018,45,28,0.6164383561643836,Enterprise Center,"St. Louis, Missouri",18724
Columbus Blue Jackets,2018,47,31,0.6025641025641025,Nationwide Arena,"Columbus, Ohio",18144
Montreal Canadiens,2018,44,30,0.5945945945945946,Bell Centre,"Montreal, Quebec",21302
Vegas Golden Knights,2018,43,32,0.5733333333333334,T-Mobile Arena,"Paradise, Nevada",17368
Dallas Stars,2018,43,32,0.5733333333333334,American Airlines Center,"Dallas, Texas",18532
Colorado Avalanche,2018,38,30,0.5588235294117647,Pepsi Center,"Denver, Colorado",17809
Arizona Coyotes,2018,39,35,0.527027027027027,Gila River Arena,"Glendale, Arizona",17125
Florida Panthers,2018,36,32,0.5294117647058824,BB&T Center,"Sunrise, Florida",19250
Chicago Blackhawks,2018,36,34,0.5142857142857142,United Center,"Chicago, Illinois",19717
Minnesota Wild,2018,37,36,0.5068493150684932,Xcel Energy Center,"Saint Paul, Minnesota",17954
Philadelphia Flyers,2018,37,37,0.5,Wells Fargo Center,"Philadelphia, Pennsylvania",19543
Vancouver Canucks,2018,35,36,0.49295774647887325,Rogers Arena,"Vancouver, British Columbia",18910
Anaheim Ducks,2018,35,37,0.4861111111111111,Honda Center,"Anaheim, California",17174
Edmonton Oilers,2018,35,38,0.4794520547945205,Rogers Place,"Edmonton, Alberta",18347
New York Rangers,2018,32,36,0.47058823529411764,Madison Square Garden,"New York City, New York",18006
Buffalo Sabres,2018,33,39,0.4583333333333333,KeyBank Center,"Buffalo, New York",19070
Detroit Red Wings,2018,32,40,0.4444444444444444,Little Caesars Arena,"Detroit, Michigan",19515
New Jersey Devils,2018,31,41,0.4305555555555556,Prudential Center,"Newark, New Jersey",16514
Los Angeles Kings,2018,31,42,0.4246575342465753,Staples Center,"Los Angeles, California",18230
Ottawa Senators,2018,29,47,0.3815789473684211,Canadian Tire Centre,"Ottawa, Ontario",17373
Boston Bruins,2019,44,14,0.7586206896551724,TD Garden,"Boston, Massachusetts",17565
St. Louis Blues,2019,42,19,0.6885245901639344,Enterprise Center,"St. Louis, Missouri",18724
Tampa Bay Lightning,2019,43,21,0.671875,Amalie Arena,"Tampa, Florida",19092
Colorado Avalanche,2019,42,20,0.6774193548387096,Pepsi Center,"Denver, Colorado",17809
Washington Capitals,2019,41,20,0.6721311475409836,Capital One Arena,"Washington, D.C.",18506
Philadelphia Flyers,2019,41,21,0.6612903225806451,Wells Fargo Center,"Philadelphia, Pennsylvania",19543
Vegas Golden Knights,2019,39,24,0.6190476190476191,T-Mobile Arena,"Paradise, Nevada",17368
Pittsburgh Penguins,2019,40,23,0.6349206349206349,PPG Paints Arena,"Pittsburgh, Pennsylvania",18387
Edmonton Oilers,2019,37,25,0.5967741935483871,Rogers Place,"Edmonton, Alberta",18347
Dallas Stars,2019,37,24,0.6065573770491803,American Airlines Center,"Dallas, Texas",18532
Columbus Blue Jackets,2019,33,22,0.6,Nationwide Arena,"Columbus, Ohio",18144
Toronto Maple Leafs,2019,36,25,0.5901639344262295,Scotiabank Arena,"Toronto, Ontario",18819
Carolina Hurricanes,2019,38,25,0.6031746031746031,PNC Arena,"Raleigh, North Carolina",18680
Winnipeg Jets,2019,37,28,0.5692307692307692,Canada Life Centre,"Winnipeg, Manitoba",15321
New York Islanders,2019,35,23,0.603448275862069,Nassau Coliseum,"Uniondale, New York",13900
New York Islanders,2019,35,23,0.603448275862069,Barclays Center,"Brooklyn, New York",15795
Calgary Flames,2019,36,27,0.5714285714285714,Scotiabank Saddledome,"Calgary, Alberta",19289
New York Rangers,2019,37,28,0.5692307692307692,Madison Square Garden,"New York City, New York",18006
Vancouver Canucks,2019,36,27,0.5714285714285714,Rogers Arena,"Vancouver, British Columbia",18910
Florida Panthers,2019,35,26,0.5737704918032787,BB&T Center,"Sunrise, Florida",19250
Nashville Predators,2019,35,26,0.5737704918032787,Bridgestone Arena,"Nashville, Tennessee",17113
Minnesota Wild,2019,35,27,0.5645161290322581,Xcel Energy Center,"Saint Paul, Minnesota",17954
Arizona Coyotes,2019,33,29,0.532258064516129,Gila River Arena,"Glendale, Arizona",17125
Chicago Blackhawks,2019,32,30,0.5161290322580645,United Center,"Chicago, Illinois",19717
Montreal Canadiens,2019,31,31,0.5,Bell Centre,"Montreal, Quebec",21302
New Jersey Devils,2019,28,29,0.49122807017543857,Prudential Center,"Newark, New Jersey",16514
Buffalo Sabres,2019,30,31,0.4918032786885246,KeyBank Center,"Buffalo, New York",19070
Anaheim Ducks,2019,29,33,0.46774193548387094,Honda Center,"Anaheim, California",17174
Los Angeles Kings,2019,29,35,0.453125,Staples Center,"Los Angeles, California",18230
San Jose Sharks,2019,29,36,0.4461538461538462,SAP Center,"San Jose, California",17562
Ottawa Senators,2019,25,34,0.423728813559322,Canadian Tire Centre,"Ottawa, Ontario",17373
Detroit Red Wings,2019,17,49,0.25757575757575757,Little Caesars Arena,"Detroit, Michigan",19515
Vegas Golden Knights,2020,40,14,0.7407407407407407,T-Mobile Arena,"Paradise, Nevada",17368
Colorado Avalanche,2020,39,13,0.75,Pepsi Center,"Denver, Colorado",17809
Carolina Hurricanes,2020,36,12,0.75,PNC Arena,"Raleigh, North Carolina",18680
Florida Panthers,2020,37,14,0.7254901960784313,BB&T Center,"Sunrise, Florida",19250
Washington Capitals,2020,36,15,0.7058823529411765,Capital One Arena,"Washington, D.C.",18506
Toronto Maple Leafs,2020,35,14,0.7142857142857143,Scotiabank Arena,"Toronto, Ontario",18819
Pittsburgh Penguins,2020,37,16,0.6981132075471698,PPG Paints Arena,"Pittsburgh, Pennsylvania",18387
Tampa Bay Lightning,2020,36,17,0.6792452830188679,Amalie Arena,"Tampa, Florida",19092
Minnesota Wild,2020,35,16,0.6862745098039216,Xcel Energy Center,"Saint Paul, Minnesota",17954
Boston Bruins,2020,33,16,0.673469387755102,TD Garden,"Boston, Massachusetts",17565
Edmonton Oilers,2020,35,19,0.6481481481481481,Rogers Place,"Edmonton, Alberta",18347
New York Islanders,2020,32,17,0.6530612244897959,Nassau Coliseum,"Uniondale, New York",13900
New York Islanders,2020,32,17,0.6530612244897959,Barclays Center,"Brooklyn, New York",15795
Nashville Predators,2020,31,23,0.5740740740740741,Bridgestone Arena,"Nashville, Tennessee",17113
St. Louis Blues,2020,27,20,0.574468085106383,Enterprise Center,"St. Louis, Missouri",18724
Winnipeg Jets,2020,30,23,0.5660377358490566,Canada Life Centre,"Winnipeg, Manitoba",15321
Dallas Stars,2020,23,19,0.5476190476190477,American Airlines Center,"Dallas, Texas",18532
New York Rangers,2020,27,23,0.54,Madison Square Garden,"New York City, New York",18006
Montreal Canadiens,2020,24,21,0.5333333333333333,Bell Centre,"Montreal, Quebec",21302
Philadelphia Flyers,2020,25,23,0.5208333333333334,Wells Fargo Center,"Philadelphia, Pennsylvania",19543
Chicago Blackhawks,2020,24,25,0.4897959183673469,United Center,"Chicago, Illinois",19717
Calgary Flames,2020,26,27,0.49056603773584906,Scotiabank Saddledome,"Calgary, Alberta",19289
Arizona Coyotes,2020,24,26,0.48,Gila River Arena,"Glendale, Arizona",17125
Ottawa Senators,2020,23,28,0.45098039215686275,Canadian Tire Centre,"Ottawa, Ontario",17373
Vancouver Canucks,2020,23,29,0.4423076923076923,Rogers Arena,"Vancouver, British Columbia",18910
Los Angeles Kings,2020,21,28,0.42857142857142855,Staples Center,"Los Angeles, California",18230
San Jose Sharks,2020,21,28,0.42857142857142855,SAP Center,"San Jose, California",17562
Detroit Red Wings,2020,19,27,0.41304347826086957,Little Caesars Arena,"Detroit, Michigan",19515
Columbus Blue Jackets,2020,18,26,0.4090909090909091,Nationwide Arena,"Columbus, Ohio",18144
New Jersey Devils,2020,19,30,0.3877551020408163,Prudential Center,"Newark, New Jersey",16514
Anaheim Ducks,2020,17,30,0.3617021276595745,Honda Center,"Anaheim, California",17174
Buffalo Sabres,2020,15,34,0.30612244897959184,KeyBank Center,"Buffalo, New York",19070
Colorado Avalanche,2021,46,14,0.7666666666666667,Pepsi Center,"Denver, Colorado",17809
Florida Panthers,2021,44,15,0.7457627118644068,BB&T Center,"Sunrise, Florida",19250
Carolina Hurricanes,2021,43,15,0.7413793103448276,PNC Arena,"Raleigh, North Carolina",18680
Pittsburgh Penguins,2021,40,17,0.7017543859649122,PPG Paints Arena,"Pittsburgh, Pennsylvania",18387
New York Rangers,2021,42,19,0.6885245901639344,Madison Square Garden,"New York City, New York",18006
Tampa Bay Lightning,2021,41,18,0.6949152542372882,Amalie Arena,"Tampa, Florida",19092
Calgary Flames,2021,40,17,0.7017543859649122,Scotiabank Saddledome,"Calgary, Alberta",19289
Boston Bruins,2021,41,19,0.6833333333333333,TD Garden,"Boston, Massachusetts",17565
Toronto Maple Leafs,2021,41,19,0.6833333333333333,Scotiabank Arena,"Toronto, Ontario",18819
Washington Capitals,2021,37,20,0.6491228070175439,Capital One Arena,"Washington, D.C.",18506
Minnesota Wild,2021,40,20,0.6666666666666666,Xcel Energy Center,"Saint Paul, Minnesota",17954
Los Angeles Kings,2021,36,22,0.6206896551724138,Staples Center,"Los Angeles, California",18230
Nashville Predators,2021,38,24,0.6129032258064516,Bridgestone Arena,"Nashville, Tennessee",17113
St. Louis Blues,2021,35,20,0.6363636363636364,Enterprise Center,"St. Louis, Missouri",18724
Edmonton Oilers,2021,36,25,0.5901639344262295,Rogers Place,"Edmonton, Alberta",18347
Vegas Golden Knights,2021,36,28,0.5625,T-Mobile Arena,"Paradise, Nevada",17368
Dallas Stars,2021,36,25,0.5901639344262295,American Airlines Center,"Dallas, Texas",18532
Winnipeg Jets,2021,32,25,0.5614035087719298,Canada Life Centre,"Winnipeg, Manitoba",15321
Vancouver Canucks,2021,32,26,0.5517241379310345,Rogers Arena,"Vancouver, British Columbia",18910
Columbus Blue Jackets,2021,32,29,0.5245901639344263,Nationwide Arena,"Columbus, Ohio",18144
San Jose Sharks,2021,29,28,0.5087719298245614,SAP Center,"San Jose, California",17562
Anaheim Ducks,2021,27,29,0.48214285714285715,Honda Center,"Anaheim, California",17174
New York Islanders,2021,28,27,0.509090909090909,Nassau Coliseum,"Uniondale, New York",13900
New York Islanders,2021,28,27,0.509090909090909,Barclays Center,"Brooklyn, New York",15795
Detroit Red Wings,2021,26,32,0.4482758620689655,Little Caesars Arena,"Detroit, Michigan",19515
Chicago Blackhawks,2021,24,32,0.42857142857142855,United Center,"Chicago, Illinois",19717
Buffalo Sabres,2021,23,33,0.4107142857142857,KeyBank Center,"Buffalo, New York",19070
New Jersey Devils,2021,24,37,0.39344262295081966,Prudential Center,"Newark, New Jersey",16514
Philadelphia Flyers,2021,21,34,0.38181818181818183,Wells Fargo Center,"Philadelphia, Pennsylvania",19543
Ottawa Senators,2021,23,36,0.3898305084745763,Canadian Tire Centre,"Ottawa, Ontario",17373
Montreal Canadiens,2021,18,37,0.32727272727272727,Bell Centre,"Montreal, Quebec",21302
Seattle Kracken,2021,20,39,0.3389830508474576,Climate Pledge Arena,"Seattle, Washington",17459
Arizona Coyotes,2021,20,40,0.3333333333333333,Gila River Arena,"Glendale, Arizona",17125
